id,make,model,model_year,vin
1,Mitsubishi,Galant,1999,WBAYB6C56DD390248
2,Volkswagen,Golf,1996,JN8AE2KP0E9005864
3,Renault,Alliance,1983,WAULFAFR8AA020447
4,Cadillac,DeVille,2005,1G6DW677960075006
5,Nissan,Altima,2004,WAUJC68E55A817588
6,Volvo,850,1995,1N4AL2AP8AC068099
7,Pontiac,LeMans,1964,JH4CU2F88CC616413
8,Ford,Club Wagon,1995,5N1AA0NC2FN767473
9,Hyundai,Elantra,2005,ZFBCFAAH9EZ195253
10,Ford,Explorer Sport Trac,2008,4F2CY0C7XBK880582
11,Dodge,Caravan,1994,1G4GC5EC1BF481121
12,BMW,545,2005,1G6AA5RA6E0692012
13,BMW,M6,2008,2G4G15GV7B9595346
14,Mercedes-Benz,C-Class,1994,1GYS4FEJ5DR527173
15,Isuzu,Trooper,2000,KMHEC4A42EA174042
16,Mazda,B-Series,2004,19UUA65696A438986
17,Maybach,Landaulet,2012,YV4952CF9D1569317
18,Audi,S5,2010,WAUKFAFL5EA443225
19,Chevrolet,Venture,2005,1G6KD57Y49U630750
20,Volkswagen,Golf,1988,WAUHF78P29A107177
21,Ford,Taurus,2012,SCFHDDAT9EG002286
22,Mercedes-Benz,GL-Class,2007,1FTEX1CW7AK956344
23,Chevrolet,Malibu,2002,WAUSH74F78N416521
24,Mercury,Grand Marquis,1999,KNALN4D77E5342419
25,Volvo,C70,2009,SCBGT3ZA3FC276136
26,Nissan,Altima,2002,3GYFNJE37DS559414
27,Acura,TL,2005,4USDU53477L738060
28,GMC,Sierra 3500,2000,WAUDH94F47N090826
29,Cadillac,DeVille,1997,1FTSX2B54AE804750
30,Ford,F250,1993,3D4PG4FB9AT438890
31,Mercury,Mountaineer,2008,1G6DJ5EG7A0469916
32,Mercedes-Benz,E-Class,2011,5FRYD3H98GB326764
33,Subaru,Legacy,2002,5UXWZ7C57F0766265
34,Kia,Soul,2010,JTDJTUD31DD681548
35,Geo,Metro,1994,SCFEBBAK5DG482328
36,Ford,Econoline E350,2002,5YMGY0C56AL361092
37,Ford,LTD Crown Victoria,1990,WAU3VAFR6CA287091
38,Mercedes-Benz,W201,1992,3C4PDDEG8DT918071
39,Hyundai,Elantra,1999,5TDDK3DC9ES163624
40,Chrysler,300C,2005,WBAKF5C50DE814750
41,Buick,Regal,1998,WBABD334X5J567960
42,GMC,Savana 1500,2005,WBAUC9C50CV885020
43,Maserati,Quattroporte,1984,1GYS3JEF8CR999013
44,Bentley,Continental,2005,WAULC58E64A098174
45,Volkswagen,Golf,1985,1N4AA5AP0AC608326
46,GMC,2500 Club Coupe,1995,JA32X2HU8BU405668
47,Chevrolet,Venture,2000,JH4CW2H66CC288303
48,Buick,Century,1997,1GYEK63N36R410977
49,Hummer,H1,2006,2G4GU5GX3E9118782
50,Mercury,Cougar,1985,5XXGM4A74FG460579
51,Audi,200,1990,WA1LFAFPXCA819015
52,GMC,Savana 1500,1997,1N4AB7AP7EN668977
53,Hyundai,Excel,1994,2LMHJ5AT9CB203848
54,Mercedes-Benz,GL-Class,2011,5XXGM4A78CG325469
55,Toyota,4Runner,2003,1FTSW3B53AE277874
56,GMC,Yukon XL 2500,2007,1GYFK13229R221206
57,Infiniti,FX,2012,3VWML7AJ6EM551141
58,Honda,Civic,1988,1GYS4HEF0CR000468
59,Ford,F150,1993,JH4KC1F36EC226202
60,Lincoln,Continental,2001,WAUAF98E75A678931
61,Chevrolet,Prizm,2001,1G6KD57Y45U105813
62,Chevrolet,Lumina,1994,3VWC17AU0FM057242
63,Hummer,H3,2008,WVGFG9BP9BD275197
64,Ford,Ranger,1997,1GD22XEG9FZ251939
65,Mercedes-Benz,G-Class,2010,WDBSK7BA2CF084596
66,Suzuki,SJ,1987,KNDKG3A27A7111725
67,Toyota,Land Cruiser,2004,KMHTC6AD6FU175200
68,Mercedes-Benz,E-Class,1986,1YVHZ8BA5A5475980
69,Volvo,C70,1998,KNDMB5C14F6968167
70,GMC,Jimmy,1996,WAUPEBFM3CA435712
71,Plymouth,Fury,1964,3VW1K7AJ1EM850249
72,GMC,Yukon XL 1500,2002,WA1YD64B45N780837
73,Chevrolet,Avalanche 1500,2003,WBAWC73549E372004
74,Nissan,350Z,2004,WAUBF48H37K029108
75,Toyota,Avalon,2009,TRUTC28N011572414
76,Maybach,57,2008,WAUBFAFL6BA192839
77,Saturn,Outlook,2010,SCBLE37G56C992486
78,Chevrolet,Suburban 1500,1997,WA1DGAFE5ED037738
79,Ford,F-Series,1994,2D4RN3DGXBR763723
80,Maserati,Quattroporte,2009,JH4DC548X5S116323
81,Nissan,Pathfinder,1996,KNADH5A34B6926186
82,Kia,Sportage,2009,WBSDX9C57BE748672
83,Toyota,Land Cruiser,1997,1C4RDJAG2DC965055
84,GMC,Rally Wagon 2500,1992,SCBLC47J08C149807
85,Toyota,Paseo,1993,WBAET37473N885955
86,Pontiac,Bonneville,2004,1FMJK1G58EE155775
87,Dodge,Ram 3500,2007,3N1BC1AP7AL574037
88,GMC,Savana 2500,2005,3VWKZ8AJ7BM902159
89,Mercedes-Benz,SLK-Class,1999,1D4SE6GT1BC323572
90,Ford,Taurus,1986,WVGAV7AX5FW866224
91,Suzuki,Swift,1993,WA1DGAFEXCD884039
92,Volvo,C70,2003,1FTEX1C88AK652215
93,Mitsubishi,Lancer Evolution,2003,KMHHT6KD5BU149511
94,Land Rover,LR4,2011,SCFBB03C19G884822
95,Mercedes-Benz,G-Class,2012,SCBCR73W07C689173
96,Subaru,Legacy,1995,5N1AA0NCXBN385265
97,Ford,F350,2007,WAU2GBFC7EN096153
98,Audi,A6,1997,TRURD28N461185928
99,Volkswagen,Type 2,1988,19UYA42663A359183
100,Suzuki,Swift,1990,WBAPH5G59AN292612
101,Geo,Metro,1997,1GYS3EEJXDR303197
102,Mazda,Tribute,2002,WP1AE2A27FL575328
103,Maybach,62,2006,19UUA9F26EA682302
104,Nissan,Quest,1999,KNADH4A39A6857598
105,Acura,Legend,1989,2LMDJ6JK5CB933283
106,Toyota,Land Cruiser,1999,WDDGF4HB1DA644963
107,Audi,Quattro,1993,1C3CDFEBXED924920
108,GMC,Rally Wagon G2500,1995,2HKRM3H36EH623144
109,Honda,Prelude,1993,WAUEF78E58A365547
110,Dodge,Challenger,2008,WP0CB2A84FS187621
111,GMC,Jimmy,2001,SCBBR53WX68164395
112,Pontiac,Grand Prix,1967,5XYZG3AB5CG173466
113,Volkswagen,Jetta,1986,5UXKR2C51E0988445
114,Ford,Ranger,1998,JM3ER2W37A0740582
115,Volvo,XC90,2003,5NPEB4AC8BH454261
116,Volkswagen,GTI,1998,JN1AZ4EHXEM601502
117,Dodge,Ram 1500 Club,1995,WBA3A9G50DN964779
118,Pontiac,Grand Prix,1977,JTDKN3DU2B0431550
119,Audi,S4,2012,2LMHJ5ATXFB125651
120,Pontiac,Fiero,1985,2C3CDYBT3EH914533
121,Lamborghini,Gallardo,2005,WVWAP7AN4DE202836
122,Pontiac,GTO,1969,JN8AZ2KRXET964293
123,Volkswagen,Passat,1985,2C4RDGEG3DR712024
124,Chevrolet,Camaro,1970,WAUJT64B82N946683
125,Subaru,Justy,1989,WAUNF68P86A124512
126,Infiniti,G,1999,3GYFNEE36CS840111
127,Oldsmobile,Silhouette,1993,KNADH4A30B6505611
128,Volkswagen,Jetta,1988,WAUAFAFLXBN010578
129,Dodge,Viper RT/10,1993,WBAKF9C55DE365685
130,Lexus,IS,2009,1GD21ZCG6DZ705417
131,Saab,9000,1999,WA1DGBFE0DD042026
132,Hyundai,Sonata,2003,3GYT4NEF0CG276667
133,Pontiac,LeMans,1964,KNAFU5A22B5177132
134,Volvo,S40,2000,3D7TP2CTXBG231597
135,Ford,Aerostar,1987,1G6AB5R30D0226685
136,Chrysler,Concorde,2000,WBADW3C55BE772571
137,GMC,2500,1999,JTDKN3DU8F0539886
138,BMW,6 Series,2007,KMHHT6KDXAU945086
139,Lotus,Esprit,1991,5N1AL0MM5DC250116
140,Toyota,MR2,2002,1D7RV1CP1AS627406
141,Nissan,300ZX,1993,WA1LMAFE9AD754223
142,Dodge,Neon,1996,5UXZV8C58D0928450
143,Mercedes-Benz,SL-Class,2003,WAUNE78P68A637012
144,Acura,NSX,1994,1D7RV1CT8BS068239
145,Chrysler,Sebring,2008,1N6AA0EC3DN183954
146,Volkswagen,GTI,1999,1FTEW1E8XAK241625
147,Porsche,Cayman,2010,3C3CFFFH5ET985566
148,Porsche,911,2012,1C4RDHEG7DC626777
149,Lexus,ES,2008,1B3CB5HA8BD086110
150,Toyota,Highlander,2002,5BZAF0AA8EN057924
151,Panoz,Esperante,2008,3C3CFFBR9ET711639
152,Mercedes-Benz,CL-Class,1998,19UYA42733A241763
153,Ford,Taurus,2003,WAUJT58E22A763978
154,Audi,S8,2009,WBA3B3G5XDN621648
155,Mercedes-Benz,CLK-Class,2009,2T1BURHEXEC254359
156,Mercedes-Benz,R-Class,2008,1D7RW2GK5BS797691
157,Mercury,Cougar,1996,ZHWGU6AU0CL963689
158,Ford,E350,2012,NM0GE9F74F1758593
159,Hyundai,Genesis Coupe,2010,1G4HK5E90AU808937
160,Dodge,Charger,2011,5N1AA0NC6BN223195
161,Chevrolet,Astro,1999,WBAKG1C5XCJ597638
162,Dodge,Ram 3500,2009,1GYS3GEF6DR922144
163,Ford,Thunderbird,1988,4JGBF2FE4BA016877
164,Isuzu,VehiCROSS,2001,WAUMF98P66A820928
165,Volkswagen,GTI,2007,1N6AD0CW0EN203339
166,Subaru,Legacy,2007,WBAPM7G55AN936338
167,Oldsmobile,Silhouette,1999,1G6DB1ED9B0386064
168,Land Rover,LR4,2010,19UUA9F7XEA226959
169,Ferrari,430 Scuderia,2009,WBAUC73519V743854
170,Acura,NSX,1999,WBA3N5C54EK752280
171,Ferrari,458 Italia,2012,WBAKF3C55CJ980241
172,Chrysler,Town & Country,2000,1G4GA5GR4CF144550
173,Suzuki,SX4,2009,1G6KE57Y31U916798
174,Chevrolet,Monte Carlo,1996,WBAPH7C57AA526867
175,Suzuki,Reno,2008,WBAPM5C57BE342846
176,Chevrolet,Suburban 2500,1999,NM0KS9BN2CT931910
177,Jaguar,XJ Series,1997,WVGEG9BP3CD674586
178,Volkswagen,Rabbit,2009,2C4JDGAG1CR990034
179,Volkswagen,Golf,1992,2HNYD18773H173782
180,Nissan,JUKE,2011,1GD022CGXCZ781149
181,Ford,Falcon,1967,2G4WB52K211642401
182,GMC,1500,1993,3N1BC1AP9AL615901
183,Land Rover,LR3,2008,3D7JB1EK8BG808163
184,Lexus,LS,1992,1G6DL8EGXA0563039
185,Citroën,SM,1972,WBSCL93481L182756
186,Lincoln,Town Car,1999,3C3CFFAR8DT261269
187,Ford,Thunderbird,2006,WAUEKBFB5AN950330
188,Jeep,Liberty,2007,WBAFU9C55BC340849
189,McLaren,MP4-12C,2012,JHMZF1D61ES831589
190,Mercedes-Benz,R-Class,2009,JN8AS5MT7AW626549
191,Suzuki,Daewoo Lacetti,2007,JTHBS1BL4D5733580
192,Buick,Lucerne,2010,3GYFK66N45G350593
193,Audi,RS4,2007,3C4PDDBG8FT291251
194,Audi,S4,2009,2HNYD18973H391464
195,Audi,Cabriolet,1997,JTDKTUD31ED665839
196,Hyundai,Sonata,1992,2C4RDGBG1FR354932
197,GMC,Yukon,1999,1G6DK5ED8B0432104
198,Mercedes-Benz,SLK-Class,1997,5N1AA0NC4DN445091
199,Ford,Econoline E250,2002,WP0CA2A8XDS278313
200,Nissan,Leaf,2012,1FAHP2DW3AG230705
201,Toyota,Sienna,1998,3VW4T7AT8EM282674
202,MINI,Cooper Clubman,2010,WAUDG68E75A765205
203,Mazda,Protege,2000,WDDLJ6HB0FA090164
204,Studebaker,Avanti,1964,KL4CJESB9FB442725
205,GMC,Savana,2009,1G6DG577790013647
206,Suzuki,Grand Vitara,2007,SCBLC43F46C451289
207,Mazda,RX-7,1987,WAUDGAFL0EA406668
208,Mitsubishi,Chariot,1986,3VW1K7AJ5EM842736
209,Land Rover,LR3,2009,2G4WF551741015219
210,Mercedes-Benz,CL-Class,2011,SALVN2BG6FH595338
211,Porsche,Cayman,2006,WBANW5C53AC533207
212,Mitsubishi,Mirage,1993,JH4DC44571S340661
213,Dodge,Ram Van 2500,1999,WAUBFBFL3AN122261
214,Dodge,Durango,2006,1G6AE5S3XD0815793
215,Saturn,S-Series,1993,WAUPEAFM4CA560857
216,Porsche,Boxster,2005,1G4GC5EC2BF380198
217,Ford,Mustang,1987,1N6AF0LX3EN838333
218,Pontiac,Bonneville,2003,2HNYD2H63CH939519
219,Bentley,Arnage,2007,1GD220CG8CZ420757
220,Dodge,Caliber,2010,WAUKD98P69A402791
221,Buick,Park Avenue,1994,1N4AL2AP8AC853903
222,Nissan,Maxima,1996,5BZAF0AA6FN506941
223,Audi,Cabriolet,1996,5UXZV4C51CL696120
224,Infiniti,G,1992,WAUGVAFR8AA975365
225,Pontiac,Montana,2002,5GAEV23D19J466546
226,Mazda,B-Series,2009,WAUJC68E73A197274
227,Mazda,MX-5,2010,5GTMNGEE6A8120574
228,Mercedes-Benz,SL-Class,2012,1G6DH8E38E0611755
229,Toyota,Solara,2008,1N4AB7AP0DN779563
230,Toyota,Echo,2003,JA32X2HU3EU254338
231,Pontiac,Trans Sport,1996,WAUTFAFHXCN903985
232,Chevrolet,Express 1500,1998,3N1AB6AP8AL976046
233,Pontiac,Vibe,2003,WAUJC68E84A494037
234,Audi,S8,2006,3D73M4CL6AG568061
235,Porsche,Cayenne,2010,2D4RN3DG4BR050381
236,Toyota,T100 Xtra,1998,2T1BURHE7EC174193
237,Acura,TSX,2012,WAUUL78E58A080626
238,BMW,M Roadster,2008,WBABN53422J335079
239,Buick,Regal,1990,1N4AB7AP2EN065953
240,Ford,Escape,2008,WBALZ5C50CC771257
241,Dodge,Caravan,1985,1N6AA0EC5EN103345
242,Pontiac,Grand Prix,1972,SCBGT3ZA1DC732177
243,Suzuki,Esteem,2001,1FTEW1C86FK736091
244,Volkswagen,GTI,1998,WA1EV94L57D900888
245,Saturn,Astra,2008,WA1AY94L78D887486
246,Honda,Ridgeline,2011,1FTEX1CM3CF385431
247,Pontiac,Bonneville,1989,WA1CV94L29D128649
248,Land Rover,Range Rover Sport,2006,1HGCP2E34BA827568
249,Toyota,Tacoma,1995,WBAPH775X9N961557
250,Mercedes-Benz,G-Class,2010,WBA5B1C59ED371796
251,Saturn,S-Series,2000,1FAHP2D85EG006813
252,Land Rover,Range Rover,2002,5N1AA0NC8FN606674
253,Dodge,Durango,1998,3VWML7AJ7CM342195
254,Chevrolet,Lumina,1996,WBAYA8C55FG401417
255,Chevrolet,Colorado,2008,WBA3A9G52EN887236
256,Chrysler,Imperial,1926,5J8TB4H50DL913667
257,Toyota,Echo,2002,JH4CL96974C483388
258,Toyota,Tundra,2001,JH4CU2F83CC219157
259,Isuzu,Hombre,1996,WAULT68E55A684470
260,Isuzu,i-370,2008,WBSDX9C58CE757091
261,Hyundai,Sonata,1992,1FTEX1CMXBF171213
262,Chevrolet,Express 1500,2002,NM0KS6BN8AT563826
263,Honda,Accord,1984,1FTEX1CW4AF410674
264,Volvo,S60,2012,WBXPC93469W789079
265,Cadillac,SRX,2011,1G4HR54KX5U275100
266,GMC,Sierra 3500,2001,5FPYK1F29CB977825
267,Lincoln,LS,2003,3VWF17AT2FM446761
268,Porsche,911,1985,WBAWB73557P016052
269,Chevrolet,Tahoe,1999,1GD220CG0CZ754166
270,Lexus,SC,2010,1FTSW3A54AE113700
271,Audi,A8,2011,WP0AB2A88CS573767
272,Buick,Century,1992,3VWF17AT7FM785032
273,Ford,F350,2003,WBA3B3C54EF025100
274,Ford,F350,1997,1G6DC8E33E0530631
275,Honda,Accord Crosstour,2010,1FTEX1CW0AF615344
276,Honda,Fit,2012,WAUAFAFLXDA999914
277,Ford,Taurus,2001,1G6AB5S35F0093984
278,GMC,Jimmy,1992,KMHCT4AE1FU736609
279,Land Rover,Range Rover,1990,WAUNF98P56A831133
280,Pontiac,G8,2009,2C3CDZFJ9FH813948
281,GMC,Safari,1996,19UUA56913A383951
282,Toyota,Cressida,1992,2C3CA7CW6AH465905
283,Nissan,Maxima,1997,2G61V5S8XE9298644
284,Buick,LaCrosse,2010,WAUVC58E42A015962
285,Subaru,Forester,2001,WVGFF9BPXBD087887
286,Chevrolet,Monte Carlo,2004,1G4HP52K334959377
287,Jaguar,X-Type,2006,1GYS3DEF4DR712740
288,Chevrolet,Corvette,1966,SAJWA1CB3CL368820
289,BMW,3 Series,1998,WBAYM1C5XFD683134
290,Volkswagen,New Beetle,2008,1G6AL5SX0D0230455
291,Volvo,XC90,2004,KMHHT6KDXEU686475
292,Nissan,Maxima,2010,JN8AF5MR9ET451348
293,Mercury,Cougar,1984,WBAWL13588P949620
294,Toyota,Matrix,2012,JHMFA3F20BS338652
295,Buick,Century,1987,1FAHP3FN6AW716599
296,Chevrolet,Express 1500,2002,WAUJ2AFDXFN096646
297,Chrysler,Cirrus,2000,5N1AR2MM1EC137436
298,Chevrolet,HHR Panel,2006,WAUVT68E32A053169
299,Ford,F250,1999,JA4AS2AW6DU520418
300,Lexus,ES,1993,5N1AT2ML7EC782360
301,Buick,Enclave,2011,WBAGL63444D134075
302,Pontiac,Bonneville,1966,KMHTC6AD9CU364077
303,Mercury,Cougar,1989,WBA3B9C5XEP753033
304,Hyundai,Azera,2008,JTEBC3EH7D2382971
305,Audi,A6,2003,JN8AZ2KR6CT517196
306,GMC,Rally Wagon 1500,1992,2FMGK5D82FB499714
307,Honda,Civic,1995,KNDMA5C13F6714324
308,Chevrolet,Silverado 1500,2012,VNKKTUD35FA669189
309,Oldsmobile,Cutlass Cruiser,1993,SALVP2BG1EH396304
310,Ford,Mustang,1969,TRUSC28N041965619
311,MINI,Clubman,2008,SCBGT3ZA6DC620636
312,Ford,F150,1992,WP0CB2A81FS000013
313,MINI,Clubman,2009,5N1BA0ND1FN354120
314,Hummer,H1,2000,WAUBF78EX7A901927
315,Ford,F250,1996,19UUA8F22DA666283
316,Toyota,Matrix,2012,JTHBC1KS9A5194549
317,Mitsubishi,Lancer,2011,1C6RD6NT1CS109620
318,Buick,Skyhawk,1989,1G6AE5S39E0374837
319,Subaru,Impreza,2012,SAJWA0F72F8080957
320,Mazda,Protege,1998,WAUJC58E44A315857
321,Oldsmobile,Achieva,1997,5GTMNGEE7A8577524
322,Land Rover,Range Rover Sport,2011,1FAHP3HN6AW246717
323,GMC,Rally Wagon 3500,1994,3N1BC1CP5CK469860
324,Ford,F350,2006,5J8TB2H29CA178773
325,Maserati,GranSport,2006,1C6RD7JT2CS054669
326,Mitsubishi,Raider,2008,3C6TD5LT7CG715305
327,Mercedes-Benz,R-Class,2008,WAUVT58E94A715107
328,Saab,9-3,2003,3N1CN7AP6EK473407
329,Cadillac,XLR-V,2006,WAUDG74F15N609058
330,Acura,Integra,2001,WBAUN13518V064267
331,Mitsubishi,Outlander,2012,1G6DR57V580925443
332,Chrysler,Cirrus,1995,3GYFNCEY7AS005406
333,Mitsubishi,Eclipse,2006,JA32X2HU5BU912396
334,Chevrolet,Corvette,2011,WUAW2AFC0FN345717
