id,make,model,model_year,vin
668,Oldsmobile,Intrigue,2000,WBAYF8C54ED802247
669,Toyota,Camry,2001,WDDHF8JB7DA033292
670,Mercedes-Benz,SL-Class,1994,WBABV13485J584189
671,GMC,Safari,1996,1N6AA0CA7EN791298
672,Land Rover,Range Rover,1996,YV1902AH7B1424287
673,Toyota,Celica,1983,1FMJK1F53AE357175
674,Dodge,Ram 1500,2009,19UUA65585A918572
675,Audi,A8,2003,1D4RD4GG1BC705531
676,Audi,A8,2002,SCFFDAAEXCG380010
677,Acura,RDX,2009,WAUDF48H97A636368
678,Land Rover,Defender 90,1994,JN1CV6EKXBM520961
679,Chevrolet,Avalanche 1500,2006,WAU4GAFB1AN666068
680,Honda,Civic Si,2005,1N6AA0EK9FN085294
681,Ford,Mustang,1965,JN1CV6EK4CM622371
682,Nissan,Sentra,2001,WBA3C1C55FP779930
683,Subaru,Impreza WRX,2010,JTHBW1GG8E1060818
684,Dodge,Ram Van B350,1993,5TDBY5G15BS079727
685,Kia,Sephia,1996,WAUYGAFC5DN388208
686,GMC,3500,1994,KNAGM4AD2E5647163
687,Lincoln,Mark VIII,1994,WBAKF3C55CJ573374
688,Toyota,RAV4,2012,1FMJK1H59DE726560
689,Chrysler,Town & Country,2008,1FMJK1H52CE994798
690,Buick,Skyhawk,1985,3C6TD4HT6CG583172
691,Buick,Electra,1984,JTHBP5C25D5161482
692,Jeep,Wrangler,1999,JTDZN3EU0EJ288612
693,Lincoln,Town Car,2004,WAUYGBFC8CN893440
694,BMW,X5,2011,5NPDH4AE9EH605902
695,Ford,Mustang,1999,WA1EV74L38D493465
696,Suzuki,Sidekick,1991,WBAFR7C52DD571789
697,Ford,Mustang,1979,WBAUU3C54AA168568
698,Chevrolet,Sportvan G10,1993,3GYVKMEF9AG781841
699,Audi,A5,2012,5J8TB4H50GL454984
700,Volkswagen,Golf,1989,4T1BF1FK0FU874660
701,Volkswagen,Golf,1990,5FNYF3H35FB269039
702,Volkswagen,Golf,2006,5N1AR1NB3BC523648
703,Chevrolet,Suburban 2500,2003,19UUA8F50DA621742
704,Geo,Prizm,1995,WAUWFBFL2CA189333
705,Nissan,Versa,2009,TRUDD38J791468583
706,GMC,Sierra Hybrid,2006,JTDKDTB38E1202026
707,Cadillac,Seville,1993,JTHKD5BH5F2237608
708,GMC,Yukon,2006,1GKUCHE02AR657576
709,Volvo,S60,2011,1FMJU1F51AE460198
710,Hyundai,Elantra,1994,1GYFK33239R351880
711,Lincoln,Navigator,2010,1N4AL3AP0EC176941
712,BMW,Z4 M,2007,WAUDF98E58A588923
713,Chevrolet,TrailBlazer,2005,1C4AJWAG0FL460931
714,GMC,Rally Wagon 2500,1994,4T1BK3DB9CU728618
715,Buick,Skylark,1993,1N6AA0CA4EN742284
716,Isuzu,Amigo,1994,WA1WKBFP0AA614668
717,Pontiac,Grand Prix,1985,1FMCU0E75AK490439
718,Audi,Q7,2011,WVGFF9BPXBD511021
719,Audi,Coupe Quattro,1991,JH4KB2F60CC601033
720,Chevrolet,Cobalt,2010,WAUCFAFHXCN346446
721,Mercedes-Benz,S-Class,2009,WP0AB2A9XAS852708
722,Toyota,Land Cruiser,1996,WAUMGBFL3DA971100
723,Dodge,Dakota,2000,3GYFNEE35ES040032
724,Oldsmobile,Achieva,1992,JM3TB2MA9A0506733
725,Hyundai,Excel,1994,WBAVM1C55EV713376
726,Nissan,Titan,2007,1G6AB5S39D0812473
727,Maserati,Quattroporte,2011,1G6DM8ED5B0631526
728,Volkswagen,Eurovan,1999,1GKS2FFJ8BR489448
729,Lotus,Esprit,1990,WAUKG98E06A845164
730,Eagle,Summit,1992,JN1AZ4EH6AM245236
731,Toyota,RAV4,2004,WAUJC58E72A375127
732,Ford,F-Series Super Duty,2010,1D7CE3GK4AS986300
733,Hyundai,Accent,2011,1N4AB7AP5DN365761
734,Toyota,Yaris,2011,1G6DV8EP1E0166268
735,Maserati,Karif,1989,1C4RDJEGXFC416569
736,Chevrolet,Cavalier,1995,5J6YH1H34AL423576
737,Pontiac,Firebird,1985,WUARU78E57N488236
738,Mitsubishi,Chariot,1990,SCFEBBBK3BG478306
739,Mercury,Cougar,2000,19VDE3F79EE949742
740,Suzuki,Swift,2005,5N1AT2ML3FC295125
741,Subaru,Legacy,2003,5FPYK1F2XDB449793
742,Lexus,LX,2000,4T1BD1EB3DU995686
743,Subaru,Leone,1989,1FTWX3D52AE433687
744,Audi,TT,2008,1FMJU2A50AE341426
745,Dodge,Ram 3500,2007,1N6AD0CW3EN880546
746,BMW,5 Series,1994,WAUNF78P67A978356
747,Buick,Park Avenue,2001,1GT020CG3EF616606
748,Infiniti,G35,2004,1G6DH5EG2A0038265
749,BMW,745,2002,WBAEN33405P196363
750,GMC,Vandura G3500,1995,5N1AT2MK6EC497950
751,Ford,F250,2002,3N1CN7AP7EL924161
752,Oldsmobile,Ciera,1992,3C63DRJL3CG417022
753,Lincoln,LS,2006,WAUPL68E55A102174
754,Land Rover,Discovery,2006,WBXPA73495W241842
755,Jeep,Grand Cherokee,2003,WAUHGBFC7EN197865
756,Maserati,228,1989,3N1CN7AP3DL848548
757,Lexus,RX,2009,WBAYB6C55ED400544
758,Lincoln,Town Car,1993,1VWAP7A31EC143334
759,Maserati,Quattroporte,2009,WAUPN44E57N114213
760,Mercedes-Benz,G-Class,2002,JTHBF5C25D5812256
761,Aston Martin,Vantage,2006,3VW4A7AT1CM191958
762,Dodge,Ram 1500,2005,1G4GB5GR4EF365551
763,Chevrolet,S10,1999,1FTMF1EW1AK809609
764,Acura,TL,2006,JN1AZ4EH5AM055444
765,Toyota,Land Cruiser,1994,1G4PN5SK8C4312510
766,Kia,Sedona,2008,WBA3X5C55FD583600
767,Hyundai,Elantra,2005,1N6AF0KY2EN063582
768,Hyundai,Sonata,1996,WAUDF98EX8A852301
769,Chevrolet,3500,1997,5N1AA0ND1FN883871
770,Kia,Rio,2003,1C3CCBAB4CN377202
771,Mitsubishi,Outlander Sport,2011,5N1AA0NC3DN645007
772,Cadillac,XLR,2006,WAUMF98K99N285708
773,Acura,Integra,1999,KNAFT4A22C5338884
774,Jeep,Cherokee,1996,1N6AA0CA6EN862636
775,Buick,Regal,1986,1G4GC5GR9DF098340
776,Suzuki,Forenza,2008,5UMBT93566L499093
777,GMC,Terrain,2010,WBAAZ33424K548731
778,BMW,8 Series,1993,1D4PT4GK2AW409574
779,Hyundai,Elantra,2011,1G6AH5SX6E0397681
780,Mazda,Protege,1996,5N1AN0NU4FN000320
781,Subaru,Impreza,2007,KM8JT3ABXCU024957
782,Infiniti,I,2004,1D7RB1GKXAS125081
783,Geo,Tracker,1993,WAUMV94E99N690681
784,Lexus,CT,2011,WA1WMBFE3CD862715
785,Chevrolet,Suburban 1500,2002,1G4GE5G33EF299030
786,Chevrolet,Camaro,1970,WA1LMBFE2AD906932
787,Volvo,S80,1999,1FTEX1CM6BF137902
788,Dodge,Viper RT/10,1995,WAUHFAFL9CN741728
789,Mazda,Miata MX-5,2000,WA1LGAFEXCD328938
790,Chrysler,Cirrus,1999,1B3CB5HA4BD225715
791,Volkswagen,Scirocco,1985,WAUMFBFL1BN526900
792,Toyota,Camry,1993,TRUVD38J791966917
793,Jeep,Wrangler,1999,W04GV5EV6B1039975
794,Ford,Fusion,2008,WBAKB8C53AC030941
795,Ford,F250,2008,WAUEFAFL8CA469893
796,Mercedes-Benz,SL-Class,1997,1FMCU4K35BK275119
797,Saab,9-5,2010,WP0AA2A92BS507158
798,Infiniti,EX,2012,WVWED7AJ3BW201353
799,Mitsubishi,L300,1988,WAULD54B63N996032
800,Chevrolet,Impala,1994,1N6AA0CHXDN475468
801,Cadillac,Eldorado,2001,1GYS4RKJ8FR049937
802,Toyota,Camry,2010,WAUDGAFL3AA073344
803,Geo,Tracker,1996,WBAWC73539E998871
804,Mercury,Mariner,2007,1G6KD57Y66U326413
805,BMW,3 Series,1995,WAUFFAFM5CA398195
806,GMC,Yukon XL 1500,2012,19UUA9F78EA322931
807,Nissan,Sentra,1998,1N6AD0CW4FN923888
808,Nissan,Cube,2009,WDDHF2EB3DA289162
809,Audi,S6,2003,KNALN4D76E5351953
810,Volkswagen,Passat,2000,JH4KB16358C051223
811,Mercury,Villager,1998,3D7TT2CT9BG437053
812,Volkswagen,Eurovan,1992,JN8AZ2KR2AT347304
813,Toyota,Tacoma,2012,3VW117AU1FM291557
814,Mazda,626,1991,WAUSF78K89A788522
815,Acura,RSX,2006,WBAGG83401D617154
816,Oldsmobile,98,1995,WUADU98E08N229497
817,Mercedes-Benz,E-Class,2010,WP1AA2A2XDL550772
818,Mercedes-Benz,E-Class,2003,1GKUCKE06AR457927
819,Mercury,Sable,1990,WBSDX9C5XCE859945
820,Mercedes-Benz,SLK-Class,2008,WBA3A9C58FF106494
821,Audi,A8,1998,WA1YD54B12N324039
822,GMC,Yukon XL 1500,2001,19XFA1E57BE931350
823,Dodge,Avenger,1995,3VWJX7AJ9AM130936
824,BMW,Z8,2002,WAULFAFR8AA920930
825,Kia,Rio,2006,WAUFGBFC0EN211645
826,Mercedes-Benz,300SE,1992,3D73M4HL8BG350519
827,Chevrolet,Venture,1999,WAU2GBFC4DN705164
828,Shelby,GT500,1968,5TDBK3EH7DS141797
829,Infiniti,G35,2007,3C3CFFHH2ET244921
830,Maserati,228,1990,2T1BURHE7FC149117
831,Pontiac,Bonneville,1989,2C4RDGDG7FR664239
832,Mazda,MX-6,1995,1G6AA1RX6F0593527
833,Subaru,Impreza,2006,1N6AF0KX5EN902163
834,Buick,Skylark,1993,JTHBE1KS7B0879724
835,Chevrolet,Suburban 1500,2004,WBA3C3C58EK258868
836,Chevrolet,S10,2004,JTJBM7FX3B5785210
837,Ford,Explorer,1995,SCBGU3ZA9EC058245
838,Ford,Ranger,1987,JM3ER2A58C0436415
839,Lotus,Esprit,1999,WBADS33493G841870
840,Chevrolet,Blazer,2004,2T1BU4EE1DC293086
841,GMC,Safari,1994,1GKS2GEJ9CR105945
842,Buick,LeSabre,1994,5TDBK3EH9DS050109
843,Toyota,Camry,2009,WBAGN63515D086457
844,Dodge,Durango,2012,KNALU4D45F6074264
845,Plymouth,Neon,1997,1D7RV1CT3AS831556
846,Land Rover,Range Rover,2007,WAUBNAFB1AN603162
847,Chevrolet,Express 2500,2009,WAUFGBFC0DN209585
848,GMC,Yukon XL 2500,2003,1G6DJ1E3XC0343302
849,Nissan,Quest,1997,WAUDL94F35N642232
850,Chevrolet,Astro,1994,JTDKDTB34D1359566
851,GMC,2500 Club Coupe,1995,WA1LMAFE9FD938813
852,Smart,Fortwo,2012,WAULC58E53A164244
853,Geo,Metro,1997,JA32X2HU8EU487258
854,Ford,Freestar,2006,WBAWR33557P456924
855,Volkswagen,Passat,1991,1G6YX36D185074054
856,GMC,Suburban 2500,1992,5GADT13S262739509
857,Audi,A7,2012,ZHWGU5BR0EL788643
858,Acura,MDX,2011,1GT3C0BG2AF984569
859,Toyota,Solara,2008,JN8AS5MT4CW386346
860,Mazda,Tribute,2009,NM0AE8F74E1971221
861,Maybach,57,2008,5TFBM5F1XAX416835
862,Mercury,Grand Marquis,2009,WBA3B9G53FN528735
863,Pontiac,Vibe,2005,WBAYE8C54FD155238
864,Ferrari,612 Scaglietti,2007,WAUDH98EX6A170252
865,Maybach,62,2008,WAUFFAFLXCN019949
866,BMW,645,2004,3C3CFFCR4DT930974
867,Toyota,Yaris,2006,1GT3CZBG4AF841594
868,Lexus,LS,1995,1G4HP54K81U782870
869,Hyundai,Azera,2010,WBAVC53538A397806
870,Mercury,Grand Marquis,2009,2LMDJ6JC7AB560589
871,Ferrari,458 Italia,2012,5N1AT2MK3FC723363
872,Maserati,Spyder,1991,WBA5B1C50FD642973
873,Volkswagen,New Beetle,2001,JN1CV6FE4FM001371
874,Pontiac,Solstice,2007,1FMEU6DE0AU601690
875,Ford,F-Series,2007,1G6AG5RX5D0079655
876,Mercedes-Benz,600SEL,1992,3C63D3JL2CG567443
877,Dodge,Ram Van 2500,2001,1G4PS5SK1C4171966
878,GMC,Jimmy,2001,WBAYF4C5XED880492
879,Nissan,Frontier,2004,WAU3GAFR1DA437734
880,Chevrolet,Silverado,2009,3C3CFFDR1FT188034
881,GMC,Vandura 2500,1993,5NPE24AF7FH452968
882,Mercedes-Benz,S-Class,1993,1G6AE5SX0D0890389
883,Lamborghini,Gallardo,2010,WA1KK78R49A044602
884,GMC,Savana 2500,2012,1GYS3HEF0ER655445
885,Chevrolet,Cavalier,1993,WA1GFCFS3FR607984
886,Ford,Flex,2013,5UXFB33503L977217
887,Chevrolet,Colorado,2010,1FTEW1C81AK469256
888,Lexus,LS,2007,5UXZV4C59D0363361
889,Mitsubishi,Lancer,2007,1D7RV1CPXBS477345
890,Chevrolet,HHR,2011,5GNRNGEE2A8343465
891,Mercedes-Benz,CL-Class,2011,WAUWFBFL3AA202247
892,Chevrolet,Silverado 1500,2005,WAUKF98E48A826414
893,Toyota,Prius,2002,YV4940BZ2E1848550
894,Bentley,Continental GTC,2009,2T1BU4EE7DC150904
895,BMW,M5,1992,3GYFNDE38FS430795
896,Saab,9-5,2008,1G6DD1E34E0143378
897,Saturn,Relay,2006,1FTMF1EW9AF575499
898,Mitsubishi,Galant,1988,JH4CU25629C203329
899,Buick,Rendezvous,2004,5UMCL93472L938033
900,Chevrolet,1500,1995,WBAEP33425P717755
901,Oldsmobile,Custom Cruiser,1992,1FTEW1CM8EF428487
902,Chevrolet,Silverado Hybrid,2006,JN1CV6EK9BM570072
903,Dodge,Ram 3500,1996,3D73Y3HL8AG113820
904,BMW,3 Series,2010,1G6AA5RX4F0886950
905,Mitsubishi,Diamante,1997,1G6AK5S30F0466848
906,Ford,Taurus,1993,1GD02ZCGXEF502568
907,Bentley,Continental Super,2010,1G6DL8E35D0509648
908,Scion,xA,2004,WUADU98E98N718996
909,Chevrolet,Silverado 2500,2008,WAUTFAFH2CN079481
910,GMC,Yukon XL 1500,2007,WP0AA2A85AU876140
911,Chevrolet,Astro,1998,KNDPB3AC1E7974622
912,Toyota,Sienna,2010,4A31K5DF6AE309239
913,Chevrolet,Camaro,1979,2T1KE4EE8CC482717
914,Chrysler,300,2008,WAUEG78E46A071485
915,Saab,9-7X,2006,5FRYD3H25GB564770
916,Dodge,Ram 2500 Club,1999,WA1VFAFL3EA502346
917,Subaru,Tribeca,2008,3MZBM1K78EM763544
918,Chevrolet,Express 1500,1996,19VDE1F30DE375175
919,Chevrolet,Corvette,1954,WAUWFAFL4AA534790
920,Porsche,944,1987,JH4CU2F42DC063675
921,Subaru,Justy,1987,WAUDV74F17N151899
922,BMW,M6,2006,1FTNF2A51AE755248
923,Ford,E250,2008,1J4AA2D17AL457513
924,Mercedes-Benz,500E,1993,SAJWA2GZ4E8996310
925,Lotus,Evora,2012,KMHHT6KD9CU729121
926,Volkswagen,Touareg,2009,JH4CU2F64BC077625
927,Audi,RS 6,2003,3C63D3HLXCG319852
928,Lincoln,LS,2005,JN8AZ1MU2DW960781
929,Audi,S8,2003,WAUVC58E55A235132
930,Nissan,Quest,2007,SCFAB01A28G682552
931,Scion,xB,2004,JTHBK1GG9E2412374
932,Toyota,Camry,1992,5XYZG3AB2BG534019
933,Chevrolet,Lumina,1998,1N6AD0CW1EN904178
934,Honda,Civic,1995,WAUFGBFB2AN349169
935,Mitsubishi,Challenger,1998,WBAGN83434D049489
936,Porsche,944,1986,WA1CMAFE0CD271500
937,Cadillac,CTS,2007,1G6AJ5SX2E0774477
938,Dodge,Nitro,2010,2G4GT5GC3B9934614
939,Ford,F150,2000,WBA3X5C53FD895298
940,Acura,TL,1998,WBAFZ9C53DC299710
941,Suzuki,Esteem,2000,WAUGFAFCXEN835700
942,Saturn,VUE,2010,SALFP2BN1AH979386
943,Ford,Mustang,1967,WAU4GAFB4BN684999
944,Studebaker,Avanti,1961,1G6DR57VX80460710
945,Chevrolet,Silverado 1500,2006,JA32U2FU1FU508724
946,Lotus,Esprit,1987,YV1382MW9A2061492
947,Volkswagen,Passat,2006,3N1CE2CP1FL247934
948,Mazda,MX-5,2004,WA1LMBFE3BD808901
949,BMW,Z4,2004,1G6DA1E37C0550939
950,BMW,M Roadster,2006,JN1AZ4EH5DM866116
951,Pontiac,Bonneville,1999,WAUGN74F87N352163
952,Dodge,Neon,1995,1GYS4AEFXBR571178
953,Mazda,B2600,1987,1G4PT5SV4E4236254
954,Chevrolet,Sportvan G20,1992,2T2BK1BA1BC204938
955,Oldsmobile,Toronado,1966,1YVHZ8BA5A5644525
956,Pontiac,Sunbird,1990,3VWJP7AT8CM956651
957,Mitsubishi,Chariot,1991,KNAFT4A24A5724560
958,GMC,Vandura 3500,1992,WAUDL94F26N734398
959,BMW,525,2002,WBAYA8C56FG344144
960,Volkswagen,CC,2011,3GYFK62897G473406
961,Audi,80,1992,3C4PDDDG8FT763820
962,Land Rover,Range Rover Sport,2008,1GYFK26239R704544
963,Buick,LaCrosse,2005,1N6AA0EK5FN563372
964,Mercury,Monterey,2007,WAUNF78P48A927441
965,Ford,E350,2006,5N1AA0NCXAN995441
966,Volkswagen,Rabbit,2010,WAUSH74F67N370422
967,BMW,1 Series,2010,WAUSH74F98N257730
968,Mitsubishi,Pajero,1996,JTDKN3DP0D3403113
969,Ford,Expedition,2003,WBSBL93482J260123
970,Chevrolet,Suburban,2008,19XFA1E3XBE662940
971,Cadillac,XLR-V,2007,WBA3K5C56FK042713
972,Toyota,Camry Solara,2006,WDDHF5KB2EA595308
973,Pontiac,6000,1990,WAUNG74F59N635253
974,Volvo,S80,2012,WAU2GAFC5DN268690
975,Kia,Sportage,1995,3D73Y3HL1BG098482
976,Toyota,Celica,1993,WBAYE8C56FD836923
977,Jeep,Grand Cherokee,1994,WAUVC68E52A264924
978,Ford,Econoline E150,2002,WBAKE5C51DJ367646
979,Mercury,Cougar,1984,WBA3T3C52F5906723
980,Lotus,Exige,2009,NM0KS9BN7DT845851
981,Toyota,Highlander,2009,2C3CCABG7FH950949
982,Acura,RL,2007,WAUKF98EX6A042073
983,Oldsmobile,88,1995,WAUEFAFL9EN857419
984,Kia,Rio,2001,JH4DC53076S227442
985,Buick,Reatta,1990,WAUKFAFL1EN561586
986,Land Rover,Range Rover,2004,WBABW53466P651892
987,Jeep,Cherokee,1994,WA1LMAFE7CD248747
988,Volkswagen,New Beetle,2008,2C3CCAXJ9DH926394
989,GMC,1500 Club Coupe,1998,4F2CY0C70BK680701
990,Mazda,B-Series,2008,WBAUP3C58BV656942
991,Mitsubishi,Mighty Max Macro,1994,3GYFK52299G010030
992,Lincoln,Navigator L,2007,2G4GZ5GV5B9018081
993,Chevrolet,Impala,2002,WBASP4C51BC951891
994,Mercedes-Benz,W201,1984,WAUEFAFL7EN395829
995,Ford,Mustang,1987,5LMJJ2JTXFE872373
996,Mazda,CX-9,2009,3GTU2YEJ5CG508332
997,Jeep,Patriot,2009,1GYFK66818R080897
998,BMW,7 Series,1992,1FTSX2A56AE192584
999,Pontiac,1000,1985,4JGDF2EE6EA475682
1000,Land Rover,Defender Ice Edition,2010,1C3BC1FB7BN515005
